R_NanoG1076	R01801
R_NanoG1077	R01801
R_NanoG1078	R01801
R_NanoG1079	R01801
R_NanoG1080	R01801
R_NanoG1081	R01801
R_NanoG1622	R01801
R_NanoG1623	R01801
R_NanoG1624	R01801
R_NanoG1676	R01801
R_NanoG1677	R01801
R_NanoG1678	R01801
R_NanoG1679	R01801
R_NanoG0544	R00206
R_NanoG0627	R01931
R_NanoG0255	R00410
R_NanoG0594	R04541
R_NanoG0346	R02933
R_NanoG0524	R01519
R_NanoG0523	R02035
R_NanoG1024	R02053
R_NanoG1025	R02053
R_NanoG1026	R02053
R_NanoG1027	R02053
R_NanoG1639	R02053
R_NanoG1640	R02053
R_NanoG1641	R02053
R_NanoG1642	R02053
R_NanoG1643	R02053
R_NanoG1030	R01026
R_NanoG0553	R00227
R_NanoG0598	R00527
R_NanoG0804	R08159
R_NanoG0805	R08159
R_NanoG0715	R08158
R_NanoG0716	R04014
R_NanoG0717	R08157
R_NanoG0795	R08163
R_NanoG0796	R08163
R_NanoG0797	R01706
R_NanoG0798	R01706
R_NanoG0660	R08174
R_NanoG0662	R08182
R_NanoG0665	R08179
R_NanoG0825	R01274
R_NanoG0535	R05064
R_NanoG0536	R05064
R_NanoG0551	R01736
R_NanoG0552	R01736
R_NanoG1337	R02135
R_NanoG0442	R04780
R_NanoG0591	R04780
R_NanoG0570	R02778
R_NanoG0463	R01334
R_NanoG0464	R01334
R_NanoG0491	R01186
R_NanoG0492	R01186
R_NanoG0493	R01186
R_NanoG0494	R01185
R_NanoG0495	R01185
R_NanoG0496	R01185
R_NanoG0136	R00582
R_NanoG0587	R01845
R_NanoG0370	R00763
R_NanoG1217	R02323
R_NanoG1483	R00183
R_NanoG1484	R01126
R_NanoG1485	R01227
R_NanoG1486	R02719
R_NanoG1714	R02088
R_NanoG1716	R02102
R_NanoG0478	R03394
R_NanoG0479	R03430x
R_NanoG0474	R03393
R_NanoG0475	R03427
R_NanoG0094	R07395
R_NanoG0097	R07394
R_NanoG0344	R07674
R_NanoG1496	R00336
R_NanoG0324	R05775
R_NanoG0564	R00026
R_NanoG0565	R00026
R_NanoG0568	R06103
R_NanoG0320	R00022
R_NanoG0081	R01401
R_NanoG0080	R00194
R_NanoG0101	R00192
R_NanoG0309	R03037
R_NanoG0652	R03057
R_NanoG0014	R00485
R_NanoG0047	R09107
R_NanoG0048	R00669
R_NanoG1210	R01268
R_NanoG1211	R01268
R_NanoG0012	R00256
R_NanoG0085	R00653
R_NanoG0054	R03180
R_NanoG0055	R03180
R_NanoG0056	R03180
R_NanoG0225	R03096
R_NanoG0226	R03096
R_NanoG0227	R03096
R_NanoG0325	R02333
R_NanoG1584	R07300
R_NanoG1532	R00131
R_NanoG1533	R00131
R_NanoG0455	R01959
R_NanoG1501	R06601
R_NanoG1539	R01993
R_NanoG1379	R00251
R_NanoG0059	R00551
R_NanoG0039	R01416
R_NanoG0137	R01566
R_NanoG1493	R02422
R_NanoG1567	R00974
R_NanoG1444	R01127
R_NanoG1541	R01663
R_NanoG0154	R04037
R_NanoG0155	R04037
R_NanoG1333	R00425
R_NanoG1334	R00425
R_NanoG1323	R03459
R_NanoG1324	R03459
R_NanoG1489	R01676
R_NanoG1499	R01560
R_NanoG1713	R02556
R_NanoG1560	R01878
R_NanoG1718	R02485
R_NanoG1491	R00181
R_NanoG1233	R01655
R_NanoG0534	R00997
R_NanoG1498	R01054
R_NanoG1554	R00159
R_NanoG1555	R00569
R_NanoG1556	R00569
R_NanoG1447	R01232
R_NanoG1220	R00103
R_NanoG1557	R02100
R_NanoG1066	R01797
R_NanoG1067	R01797
R_NanoG1068	R01797
R_NanoG1069	R01797
R_NanoG1070	R01797
R_NanoG1650	R01797
R_NanoG1651	R01797
R_NanoG1664	R01797
R_NanoG1505	R00187
R_NanoG0156	R04035
R_NanoG0157	R04035
R_NanoG1478	R00122
R_NanoG1476	R00335
R_NanoG0623	R00531
R_NanoG0238	R01364
R_NanoG0217	R02668
R_NanoG0218	R00987
R_NanoG0028	R00261
R_NanoG0029	R00261
R_NanoG0052	R00670
R_NanoG0062	R00566
R_NanoG0063	R00566
R_NanoG0170	R00451
R_NanoG1449	R04209
R_NanoG1563	R00965
R_NanoG0571	R01384
R_NanoG1256	R03269
R_NanoG1257	R03269
R_NanoG1299	R04972
R_NanoG1300	R04972
R_NanoG1301	R03197
R_NanoG1302	R03197
R_NanoG0198	R03508
